participant_id,choice_id1,choice_id2,winner_id,choice1_text,choice2_text
gpt-5.1,1,2,1,How can we identify and distinguish between reliable and unreliable judges?,What specifically does it mean to be a bad judge and how should this be managed?
gpt-5.1,1,3,3,How can we identify and distinguish between reliable and unreliable judges?,How do we tell the difference between judges who are providing no information versus judges who have a different opinion to the rest of the group?
gpt-5.1,1,4,1,How can we identify and distinguish between reliable and unreliable judges?,For currently-used diagnostic tools more generally: what are the weaknesses / blind-spots in current tools that need addressing?
gpt-5.1,1,5,5,How can we identify and distinguish between reliable and unreliable judges?,What routine diagnostic workflow should accompany comparative judgement analyses to detect model misspecification? What evidence threshold should trigger a move from a one-dimensional BradleyTerry-type scale to a richer alternative?
gpt-5.1,1,6,6,How can we identify and distinguish between reliable and unreliable judges?,"How should we evaluate goodness-of-fit for comparative judgement models, and what diagnostics are most informative for people using them?"
gpt-5.1,1,7,1,How can we identify and distinguish between reliable and unreliable judges?,Should there be agreed standards about what is reported when a study has used a comparative judgement method?
gpt-5.1,1,8,1,How can we identify and distinguish between reliable and unreliable judges?,How can two objects be determined to have significantly different parameter estimates?
gpt-5.1,1,9,9,How can we identify and distinguish between reliable and unreliable judges?,How can relative ability scores from comparative judgement be linked to absolute measures or external standards?
gpt-5.1,1,10,10,How can we identify and distinguish between reliable and unreliable judges?,"To what extent can comparative judgement outcomes generated by different panels of judges, who judge the same items against different properties, be validly synthesised into a single overall score?"
gpt-5.1,1,11,11,How can we identify and distinguish between reliable and unreliable judges?,What is the most principled way to link or equate scales across separate comparative judgement exercises?
gpt-5.1,1,12,12,How can we identify and distinguish between reliable and unreliable judges?,Topping up: Is there a principled way to integrate existing judgement data into further research (e.g. adding new items and a small number of new judgements to an existing dataset)?
gpt-5.1,1,13,13,How can we identify and distinguish between reliable and unreliable judges?,"Does judge expertise significantly affect consistency, scale location, and feature sensitivity?"
gpt-5.1,1,14,1,How can we identify and distinguish between reliable and unreliable judges?,Can we identify clusters of judges who appear to agree with each other more so than other judges?
gpt-5.1,1,15,15,How can we identify and distinguish between reliable and unreliable judges?,How can we measure and account for heterogeneity among judges in comparative judgement?
gpt-5.1,1,16,16,How can we identify and distinguish between reliable and unreliable judges?,"When overall inter-rater reliability is low but higher reliability is observed within subsets of judges, what latent factors explain this pattern in collected pairwise judgements? Additionally, can we statistically identify these subsets of agreement, rather than through manual inspection?"
gpt-5.1,1,17,1,How can we identify and distinguish between reliable and unreliable judges?,Should judge diversity be accounted for when designing CJ studies?
gpt-5.1,1,18,1,How can we identify and distinguish between reliable and unreliable judges?,"When judges are students, to what extent do those whose scores are lower also make judgements that align less with the overall scaled rank order produced by other students and/or by experts?"
gpt-5.1,1,19,19,How can we identify and distinguish between reliable and unreliable judges?,What is the best way to allocate comparison pairs based on prior knowledge?
gpt-5.1,1,20,1,How can we identify and distinguish between reliable and unreliable judges?,How should we determine the minimum number of pairwise comparisons needed for reliable scale construction?
gpt-5.1,1,21,1,How can we identify and distinguish between reliable and unreliable judges?,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?"
gpt-5.1,1,22,1,How can we identify and distinguish between reliable and unreliable judges?,"Pre/post measures: In a pre-test/post-test design where CJ is used to score responses, is there a statistical rationale for putting all responses into one pool versus having separate pools for the pre- and post-test responses?"
gpt-5.1,1,23,23,How can we identify and distinguish between reliable and unreliable judges?,What is the impact of multiple representations coming from the same participant in (for example) a pre-post experimental design? Can we demonstrate that the BT model can cope with it?
gpt-5.1,1,24,24,How can we identify and distinguish between reliable and unreliable judges?,How can the near-unlimited capacity/throughput of AI be harnessed? What might LLM training/fine-tuning be able to offer? Will results be well-adapted to CJ or to specific subject material? How can this be done in a framework which allows understanding of how various flavours of AI compare to each other and to human/expert judgement?
gpt-5.1,1,25,1,How can we identify and distinguish between reliable and unreliable judges?,How do assessors allocate their visual attention across the pairs of representations when judging? Are there particular features of representations that are more salient?
gpt-5.1,1,26,1,How can we identify and distinguish between reliable and unreliable judges?,"Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?"
gpt-5.1,1,27,27,How can we identify and distinguish between reliable and unreliable judges?,"Are there systematic biases in CJ related to handwriting, layout, or linguistic expression?"
gpt-5.1,1,28,1,How can we identify and distinguish between reliable and unreliable judges?,How do we best control for particular aspects of representations (e.g. length)? Can we factor these out of the CJ scores?
gpt-5.1,1,29,29,How can we identify and distinguish between reliable and unreliable judges?,What systematic biases related to cultural norms can be detected CJ outcomes?
gpt-5.1,1,30,30,How can we identify and distinguish between reliable and unreliable judges?,"Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?"
gpt-5.1,1,31,31,How can we identify and distinguish between reliable and unreliable judges?,Reliability = consensus? Researchers sometimes use reliability measures (SSR/SHR) as an indicator of consensus between the judges about some construct. Is this a valid inference?
gpt-5.1,1,32,32,How can we identify and distinguish between reliable and unreliable judges?,Humans are often better at pairwise comparison than absolute scoring  is this still true when AI is the assessor?
gpt-5.1,1,33,33,How can we identify and distinguish between reliable and unreliable judges?,"Why do we always get fairly high reliabilities in comparative judgement sessions, regardless of the judges or items?"
gpt-5.1,1,34,1,How can we identify and distinguish between reliable and unreliable judges?,Does CJ tend to inflate measures of consensus compared to absolute scale methods?
gpt-5.1,1,35,35,How can we identify and distinguish between reliable and unreliable judges?,"Do judges learn anything while making CJ? If so, what and how?"
gpt-5.1,1,36,1,How can we identify and distinguish between reliable and unreliable judges?,Is the first half of a judge's comparisons similar to their second half?
gpt-5.1,1,37,37,How can we identify and distinguish between reliable and unreliable judges?,"What are the limits of using CJ effectively for judging a wide range of non-text work (e.g. video, audio, art)?"
gpt-5.1,1,38,1,How can we identify and distinguish between reliable and unreliable judges?,"How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?"
gpt-5.1,1,39,1,How can we identify and distinguish between reliable and unreliable judges?,How does communicating multiple judging criteria to judges impact judgements made? Does this affect session outcomes?
gpt-5.1,1,40,1,How can we identify and distinguish between reliable and unreliable judges?,What makes a 'good' prompt for CJ sessions?
gpt-5.1,1,41,41,How can we identify and distinguish between reliable and unreliable judges?,Rating vs comparing: Does the method of pairwise comparisons give a misleading indication of participants' agreement?
gpt-5.1,1,42,42,How can we identify and distinguish between reliable and unreliable judges?,What is the evidence (of multiple kinds?) that people are 'better' at comparative than absolute judgements?
gpt-5.1,1,43,43,How can we identify and distinguish between reliable and unreliable judges?,"To what extent do comparative judgement outcomes remain stable across fully independent panels of judges, and how does this compare with stability estimated through split-halves reliability derived from a single judge cohort?"
gpt-5.1,1,44,1,How can we identify and distinguish between reliable and unreliable judges?,How can we model changes in CJ scores over time?
gpt-5.1,1,45,1,How can we identify and distinguish between reliable and unreliable judges?,"What potential wider applications of CJ should be a focus for research (e.g. peer review of funding applications, driver training, sentencing decisions, recruitment, resource prioritisation)?"
gpt-5.1,1,46,1,How can we identify and distinguish between reliable and unreliable judges?,How do we get comparative judgement to be more accepted in a variety of disciplines?
gpt-5.1,1,47,47,How can we identify and distinguish between reliable and unreliable judges?,"How to create assessments in comparative formats that minimize socially desirable responding and faking? How to best match stimuli on desirability in specific contexts (for example, in job hiring)?"
