participant_id,choice_id1,choice_id2,winner_id,choice1_text,choice2_text
P01,79,74,74,Is CJ an equally fair and valid assessment method across neurodivergent and neurotypical populations (in terms of both judging and being assessed)?,"When does a one-dimensional ranking fail, and how should we model systematic intransitivity?"
P01,104,94,94,"Most CJ exercises sample a subset of the n(n-1)/2 possible paired comparisons among n objects such that each object is involved in the same or a similar number of comparisons (e.g. c=20). The resulting data is then analysed with a Bradley-Terry model. If instead we compared (n-20) of the objects with the SAME 20 objects we would create a data set where we could simply add up the number of wins and rank the objects on their score out of 20, without involving the Bradley Terry model at all. What are the theoretical and practical differences between these situations and which is preferable? Do the long scales with lots of decimal places created by a typical CJ analysis disguise the fact that you don't really have more information than you'd get from a 20-item test? How does Cronbach's Alpha from the 'fixed set' CJ design compare with the Scale Separation Reliability usually reported from the Bradley-Terry analysis, both in theory and in practice?","How can we assess and improve the external validity of comparative judgment tasks, i.e., the degree to which the CJ task elicits the preferences/beliefs that drive judges' behaviour/choices in other contexts?"
P01,12,21,12,Topping up: Is there a principled way to integrate existing judgement data into further research (e.g. adding new items and a small number of new judgements to an existing dataset)?,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?"
P01,36,51,36,Is the first half of a judge's comparisons similar to their second half?,"How to create CJ assessments that are well received by test takers? What are potential benefits of multimodal CJ assessments using audio, video, image stimuli?"
P01,78,102,78,"How different do quality criteria have to be to give genuinely different scaled rank orders? Do stimulii that are 'better' tend to be better across essentially all criteria, or is it really possible with real-world answers to have quality criteria that are more orthogonal?","If a theta value can be interpreted as a probability, and a probability can be interpreted as a degree of subjective (un)certainty, then do the standard errors accompanying theta (post Bradley-Terry analysis) quantify the certainty in our certainty - and how should we interpret this? Are there important practical differences in whether we take a Bayesian or frequentist view of this?"
P01,26,30,30,"Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?","Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?"
P01,66,87,87,"Can projects with strong theoretical, statistical and practical components push back on the idea that marking is a gold standard? Under what circumstances is marking/CJ better than the other in important educational/psychometric senses? What would a perfect such project look like and how close can we get to it in reality?",What are the limits in terms of item length/complexity that assessors can cope with (perhaps based on cognitive load/working memory)? Are these the same for written vs. audio/video representations? How does it impact CJ scores and reliability?
P01,112,8,112,"How do we account for qualitative differences (wildly different objects, judges and criteria across studies and disciplines) in statistical models?",How can two objects be determined to have significantly different parameter estimates?
P01,82,26,82,What is the optimal way to do pair selection for CJ?,"Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?"
P01,29,98,29,What systematic biases related to cultural norms can be detected CJ outcomes?,"What role should behavioural phenomena, like systematic violations of transitivity and IIA, play in the analysis of comparative judgment data? Should the goal of data analysis be to reveal the presence of such patterns in CJ data, or to provide conclusions that are robust to the presence of these patterns?"
P02,49,35,49,What are best algorithms for scoring CJs in operational settings?,"Do judges learn anything while making CJ? If so, what and how?"
P01,4,28,4,For currently-used diagnostic tools more generally: what are the weaknesses / blind-spots in current tools that need addressing?,How do we best control for particular aspects of representations (e.g. length)? Can we factor these out of the CJ scores?
P01,99,35,35,What falsifiable claims about reality are embodied in the set of CJ scores that a set of objects receives post-Bradley-Terry analysis? How can/should these claims be tested and falsified?,"Do judges learn anything while making CJ? If so, what and how?"
P01,102,32,32,"If a theta value can be interpreted as a probability, and a probability can be interpreted as a degree of subjective (un)certainty, then do the standard errors accompanying theta (post Bradley-Terry analysis) quantify the certainty in our certainty - and how should we interpret this? Are there important practical differences in whether we take a Bayesian or frequentist view of this?",Humans are often better at pairwise comparison than absolute scoring  is this still true when AI is the assessor?
P01,82,48,82,What is the optimal way to do pair selection for CJ?,What are best approaches to developing CJs so that they yield reliable and valid scores when assessing individual differences? How to create optimal CJ designs that minimise the assessment length and complexity of CJ blocks but maximise reliability and construct validity? How to incorporate response time and other process data in CJ designs? How to balance desirability matching and latent attribute recovery?
P01,1,108,1,How can we identify and distinguish between reliable and unreliable judges?,"How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?"
P01,77,48,48,"If we allow ties, to what extent do individual judges' ties line up with overall judgements (e.g. do some people use ties a lot more than others; do individuals' ties generally reflect very similar scores in the overall scaled rank order)?",What are best approaches to developing CJs so that they yield reliable and valid scores when assessing individual differences? How to create optimal CJ designs that minimise the assessment length and complexity of CJ blocks but maximise reliability and construct validity? How to incorporate response time and other process data in CJ designs? How to balance desirability matching and latent attribute recovery?
P01,86,18,18,"Are there any cultural constraints on the adoption of CJ as an educational assessment tool beyond the Anglo-Saxon context? What are they, and how could they be overcome?","When judges are students, to what extent do those whose scores are lower also make judgements that align less with the overall scaled rank order produced by other students and/or by experts?"
P02,50,28,28,How to model socially desirable responding and faking in CJs statistically?,How do we best control for particular aspects of representations (e.g. length)? Can we factor these out of the CJ scores?
P01,96,3,3,"In what ways are statistical models of comparative judgment data, like the Bradley-Terry model, misspecified - i.e., do they fail to capture structure in CJ outcomes - and how does this affect the validity of the inferences drawn from these models?",How do we tell the difference between judges who are providing no information versus judges who have a different opinion to the rest of the group?
P01,65,77,77,"Is there more information in CJ data than a single 1d scale? (Both theoretical questions about whether/how this is possible even in idealised circumstances, and practical questions about feasibility.)","If we allow ties, to what extent do individual judges' ties line up with overall judgements (e.g. do some people use ties a lot more than others; do individuals' ties generally reflect very similar scores in the overall scaled rank order)?"
P01,112,30,112,"How do we account for qualitative differences (wildly different objects, judges and criteria across studies and disciplines) in statistical models?","Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?"
P01,112,103,112,"How do we account for qualitative differences (wildly different objects, judges and criteria across studies and disciplines) in statistical models?",The logistic distribution used in the Bradley-Terry model is a difference between Gumbel distributions. Do Gumbel distributions have any psychological justification or empirical support in educational assessment?
P01,97,92,97,What role should cognitive models play in the analysis of comparative judgment data?,How can we characterise Bradley-Terry models that have multi-modal likelihood functions?
P01,64,7,64,How do comparative judgement methods scale to large numbers of items or sparse comparison designs?,Should there be agreed standards about what is reported when a study has used a comparative judgement method?
P01,30,40,40,"Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?",What makes a 'good' prompt for CJ sessions?
P01,17,19,19,Should judge diversity be accounted for when designing CJ studies?,What is the best way to allocate comparison pairs based on prior knowledge?
P01,98,45,45,"What role should behavioural phenomena, like systematic violations of transitivity and IIA, play in the analysis of comparative judgment data? Should the goal of data analysis be to reveal the presence of such patterns in CJ data, or to provide conclusions that are robust to the presence of these patterns?","What potential wider applications of CJ should be a focus for research (e.g. peer review of funding applications, driver training, sentencing decisions, recruitment, resource prioritisation)?"
P01,3,52,3,How do we tell the difference between judges who are providing no information versus judges who have a different opinion to the rest of the group?,What is the role of cognitive ability in responding to CJ assessments of personality and other non-cognitive traits?
P01,10,108,10,"To what extent can comparative judgement outcomes generated by different panels of judges, who judge the same items against different properties, be validly synthesised into a single overall score?","How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?"
P02,22,108,108,"Pre/post measures: In a pre-test/post-test design where CJ is used to score responses, is there a statistical rationale for putting all responses into one pool versus having separate pools for the pre- and post-test responses?","How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?"
P01,18,105,105,"When judges are students, to what extent do those whose scores are lower also make judgements that align less with the overall scaled rank order produced by other students and/or by experts?",What is the best way to measure and communicate inter-rater reliability in CJ? How do the indices relate to traditional measures of inter-rater reliability?
P01,69,4,4,"Sliders: Rather than asking judges to make a binary choice, can we get better (more valid and reliable) results by asking judges to use a slider to indicate strength of preference?",For currently-used diagnostic tools more generally: what are the weaknesses / blind-spots in current tools that need addressing?
P02,26,31,31,"Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?",Reliability = consensus? Researchers sometimes use reliability measures (SSR/SHR) as an indicator of consensus between the judges about some construct. Is this a valid inference?
P01,78,87,78,"How different do quality criteria have to be to give genuinely different scaled rank orders? Do stimulii that are 'better' tend to be better across essentially all criteria, or is it really possible with real-world answers to have quality criteria that are more orthogonal?",What are the limits in terms of item length/complexity that assessors can cope with (perhaps based on cognitive load/working memory)? Are these the same for written vs. audio/video representations? How does it impact CJ scores and reliability?
P02,77,6,6,"If we allow ties, to what extent do individual judges' ties line up with overall judgements (e.g. do some people use ties a lot more than others; do individuals' ties generally reflect very similar scores in the overall scaled rank order)?","How should we evaluate goodness-of-fit for comparative judgement models, and what diagnostics are most informative for people using them?"
P02,35,36,36,"Do judges learn anything while making CJ? If so, what and how?",Is the first half of a judge's comparisons similar to their second half?
P02,2,34,2,What specifically does it mean to be a bad judge and how should this be managed?,Does CJ tend to inflate measures of consensus compared to absolute scale methods?
P02,46,56,46,How do we get comparative judgement to be more accepted in a variety of disciplines?,"Can CJ be used to evaluate the consistency in marking between groups, rather than consistency between judges being used as a reliability metric?"
P02,79,32,32,Is CJ an equally fair and valid assessment method across neurodivergent and neurotypical populations (in terms of both judging and being assessed)?,Humans are often better at pairwise comparison than absolute scoring  is this still true when AI is the assessor?
P02,76,41,41,"Educationally, what are the advantages and disadvantages of using actual student work versus examples designed to include specific strengths/weaknesses?",Rating vs comparing: Does the method of pairwise comparisons give a misleading indication of participants' agreement?
P02,83,13,13,How does the effectiveness of using CJ for assessment and learning vary by age?,"Does judge expertise significantly affect consistency, scale location, and feature sensitivity?"
P02,81,69,69,To what extent are comparative judgements an expression of stable latent preferences vs context-driven choices?,"Sliders: Rather than asking judges to make a binary choice, can we get better (more valid and reliable) results by asking judges to use a slider to indicate strength of preference?"
P02,60,102,102,"Does CJ become less effective with stimuli with multiple pages (i.e., not presented side-by-side)?","If a theta value can be interpreted as a probability, and a probability can be interpreted as a degree of subjective (un)certainty, then do the standard errors accompanying theta (post Bradley-Terry analysis) quantify the certainty in our certainty - and how should we interpret this? Are there important practical differences in whether we take a Bayesian or frequentist view of this?"
P02,2,104,2,What specifically does it mean to be a bad judge and how should this be managed?,"Most CJ exercises sample a subset of the n(n-1)/2 possible paired comparisons among n objects such that each object is involved in the same or a similar number of comparisons (e.g. c=20). The resulting data is then analysed with a Bradley-Terry model. If instead we compared (n-20) of the objects with the SAME 20 objects we would create a data set where we could simply add up the number of wins and rank the objects on their score out of 20, without involving the Bradley Terry model at all. What are the theoretical and practical differences between these situations and which is preferable? Do the long scales with lots of decimal places created by a typical CJ analysis disguise the fact that you don't really have more information than you'd get from a 20-item test? How does Cronbach's Alpha from the 'fixed set' CJ design compare with the Scale Separation Reliability usually reported from the Bradley-Terry analysis, both in theory and in practice?"
P02,63,65,65,How can we identify latent groups or clusters of items through comparative judgement data?,"Is there more information in CJ data than a single 1d scale? (Both theoretical questions about whether/how this is possible even in idealised circumstances, and practical questions about feasibility.)"
P02,53,38,53,"Where there is a need for setting meaningful zero points or category thresholds for the latent measurement scale, what are good data collection and analysis practices for integrating scale calibration with comparative judgment?","How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?"
P02,14,77,14,Can we identify clusters of judges who appear to agree with each other more so than other judges?,"If we allow ties, to what extent do individual judges' ties line up with overall judgements (e.g. do some people use ties a lot more than others; do individuals' ties generally reflect very similar scores in the overall scaled rank order)?"
P02,33,64,64,"Why do we always get fairly high reliabilities in comparative judgement sessions, regardless of the judges or items?",How do comparative judgement methods scale to large numbers of items or sparse comparison designs?
P02,3,26,3,How do we tell the difference between judges who are providing no information versus judges who have a different opinion to the rest of the group?,"Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?"
P02,23,25,23,What is the impact of multiple representations coming from the same participant in (for example) a pre-post experimental design? Can we demonstrate that the BT model can cope with it?,How do assessors allocate their visual attention across the pairs of representations when judging? Are there particular features of representations that are more salient?
P02,69,33,69,"Sliders: Rather than asking judges to make a binary choice, can we get better (more valid and reliable) results by asking judges to use a slider to indicate strength of preference?","Why do we always get fairly high reliabilities in comparative judgement sessions, regardless of the judges or items?"
P02,110,30,110,To what extent can we still draw meaningful insight from collected pairwise judgements when inter-rater reliability is low?,"Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?"
P02,94,88,88,"How can we assess and improve the external validity of comparative judgment tasks, i.e., the degree to which the CJ task elicits the preferences/beliefs that drive judges' behaviour/choices in other contexts?",What's the best way of generalising from data on judgements made by a sample of judges to judgements made by a population of judges?
P02,93,87,93,"Can we ever know that people are making judgements on the logit scale, and if not, how can we ensure that we are specifying the correct scale?",What are the limits in terms of item length/complexity that assessors can cope with (perhaps based on cognitive load/working memory)? Are these the same for written vs. audio/video representations? How does it impact CJ scores and reliability?
P02,56,47,56,"Can CJ be used to evaluate the consistency in marking between groups, rather than consistency between judges being used as a reliability metric?","How to create assessments in comparative formats that minimize socially desirable responding and faking? How to best match stimuli on desirability in specific contexts (for example, in job hiring)?"
P02,105,86,105,What is the best way to measure and communicate inter-rater reliability in CJ? How do the indices relate to traditional measures of inter-rater reliability?,"Are there any cultural constraints on the adoption of CJ as an educational assessment tool beyond the Anglo-Saxon context? What are they, and how could they be overcome?"
P02,38,29,38,"How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?",What systematic biases related to cultural norms can be detected CJ outcomes?
P02,66,69,69,"Can projects with strong theoretical, statistical and practical components push back on the idea that marking is a gold standard? Under what circumstances is marking/CJ better than the other in important educational/psychometric senses? What would a perfect such project look like and how close can we get to it in reality?","Sliders: Rather than asking judges to make a binary choice, can we get better (more valid and reliable) results by asking judges to use a slider to indicate strength of preference?"
P02,22,85,22,"Pre/post measures: In a pre-test/post-test design where CJ is used to score responses, is there a statistical rationale for putting all responses into one pool versus having separate pools for the pre- and post-test responses?","How does cognitive load affect pairwise comparisons? Is there a threshold in the amount of information being processed beyond which comparison becomes harder than absolute judgement? If so, how can it be approximated?"
P02,11,108,11,What is the most principled way to link or equate scales across separate comparative judgement exercises?,"How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?"
P02,14,11,14,Can we identify clusters of judges who appear to agree with each other more so than other judges?,What is the most principled way to link or equate scales across separate comparative judgement exercises?
P02,21,110,21,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?",To what extent can we still draw meaningful insight from collected pairwise judgements when inter-rater reliability is low?
P02,74,26,74,"When does a one-dimensional ranking fail, and how should we model systematic intransitivity?","Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?"
P02,58,94,58,What cognitive strategies do judges use when making pairwise comparisons?,"How can we assess and improve the external validity of comparative judgment tasks, i.e., the degree to which the CJ task elicits the preferences/beliefs that drive judges' behaviour/choices in other contexts?"
P02,21,23,21,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?",What is the impact of multiple representations coming from the same participant in (for example) a pre-post experimental design? Can we demonstrate that the BT model can cope with it?
P02,67,42,67,"What does crowdsourcing reveal about the behaviour of comparative judgement as the number of judges increases, particularly regarding convergence with expert-panel outcomes and the distinctive role of experts?",What is the evidence (of multiple kinds?) that people are 'better' at comparative than absolute judgements?
P02,2,4,4,What specifically does it mean to be a bad judge and how should this be managed?,For currently-used diagnostic tools more generally: what are the weaknesses / blind-spots in current tools that need addressing?
P02,66,107,107,"Can projects with strong theoretical, statistical and practical components push back on the idea that marking is a gold standard? Under what circumstances is marking/CJ better than the other in important educational/psychometric senses? What would a perfect such project look like and how close can we get to it in reality?",Does Thurstone's Law (or the Bradley-Terry model) need extending to apply to complex assessment artefacts?
P02,11,88,88,What is the most principled way to link or equate scales across separate comparative judgement exercises?,What's the best way of generalising from data on judgements made by a sample of judges to judgements made by a population of judges?
P02,68,79,68,SSR vs SHR: What is the relationship between the two commonly used measures of reliability - scale separation reliability (SSR) and split-halves reliability (SHR)?,Is CJ an equally fair and valid assessment method across neurodivergent and neurotypical populations (in terms of both judging and being assessed)?
P02,23,31,31,What is the impact of multiple representations coming from the same participant in (for example) a pre-post experimental design? Can we demonstrate that the BT model can cope with it?,Reliability = consensus? Researchers sometimes use reliability measures (SSR/SHR) as an indicator of consensus between the judges about some construct. Is this a valid inference?
P02,19,80,19,What is the best way to allocate comparison pairs based on prior knowledge?,What are the most effective ways to maximise the educational value of the judging process within CJ?
P02,55,19,55,"What are the best strategies for structuring a data collection that exposes individual raters to repeated pairs and/or sets of pairs that can reveal intransitivity and instability, in order to assess the reliability of individual raters and distinguish variation within rater from variation across raters?",What is the best way to allocate comparison pairs based on prior knowledge?
P02,63,30,63,How can we identify latent groups or clusters of items through comparative judgement data?,"Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?"
P02,38,18,38,"How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?","When judges are students, to what extent do those whose scores are lower also make judgements that align less with the overall scaled rank order produced by other students and/or by experts?"
P02,108,105,108,"How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?",What is the best way to measure and communicate inter-rater reliability in CJ? How do the indices relate to traditional measures of inter-rater reliability?
P02,101,50,101,"What is the 'unit of measurement' in CJ, and to what extent should we expect it to be invariant across CJ studies that make comparisons of the same construct? When simulating judgement data from a CJ study, what principles should we use to set the standard deviation (or other distributional parameters) of theta?",How to model socially desirable responding and faking in CJs statistically?
P02,1,35,1,How can we identify and distinguish between reliable and unreliable judges?,"Do judges learn anything while making CJ? If so, what and how?"
P02,46,110,110,How do we get comparative judgement to be more accepted in a variety of disciplines?,To what extent can we still draw meaningful insight from collected pairwise judgements when inter-rater reliability is low?
P02,76,70,70,"Educationally, what are the advantages and disadvantages of using actual student work versus examples designed to include specific strengths/weaknesses?",How can we relate Bradley-Terry scores to external data using a joint modelling approach?
P02,102,73,102,"If a theta value can be interpreted as a probability, and a probability can be interpreted as a degree of subjective (un)certainty, then do the standard errors accompanying theta (post Bradley-Terry analysis) quantify the certainty in our certainty - and how should we interpret this? Are there important practical differences in whether we take a Bayesian or frequentist view of this?","Under what sparsity, separation, and graph-connectivity conditions should we trust a full ranking, and when should we report ordered tiers instead?"
P02,91,112,112,How may we reduce the dimensionality of the parameter space for large Bradley-Terry models?,"How do we account for qualitative differences (wildly different objects, judges and criteria across studies and disciplines) in statistical models?"
P02,9,113,9,How can relative ability scores from comparative judgement be linked to absolute measures or external standards?,Can interpretable models meaningfully explain variation in image-based CJ decisions to human judges?
P02,87,24,24,What are the limits in terms of item length/complexity that assessors can cope with (perhaps based on cognitive load/working memory)? Are these the same for written vs. audio/video representations? How does it impact CJ scores and reliability?,How can the near-unlimited capacity/throughput of AI be harnessed? What might LLM training/fine-tuning be able to offer? Will results be well-adapted to CJ or to specific subject material? How can this be done in a framework which allows understanding of how various flavours of AI compare to each other and to human/expert judgement?
P02,110,93,93,To what extent can we still draw meaningful insight from collected pairwise judgements when inter-rater reliability is low?,"Can we ever know that people are making judgements on the logit scale, and if not, how can we ensure that we are specifying the correct scale?"
P02,39,92,92,How does communicating multiple judging criteria to judges impact judgements made? Does this affect session outcomes?,How can we characterise Bradley-Terry models that have multi-modal likelihood functions?
P02,110,35,110,To what extent can we still draw meaningful insight from collected pairwise judgements when inter-rater reliability is low?,"Do judges learn anything while making CJ? If so, what and how?"
P03,68,31,31,SSR vs SHR: What is the relationship between the two commonly used measures of reliability - scale separation reliability (SSR) and split-halves reliability (SHR)?,Reliability = consensus? Researchers sometimes use reliability measures (SSR/SHR) as an indicator of consensus between the judges about some construct. Is this a valid inference?
P03,41,107,41,Rating vs comparing: Does the method of pairwise comparisons give a misleading indication of participants' agreement?,Does Thurstone's Law (or the Bradley-Terry model) need extending to apply to complex assessment artefacts?
P03,38,42,38,"How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?",What is the evidence (of multiple kinds?) that people are 'better' at comparative than absolute judgements?
P03,34,32,32,Does CJ tend to inflate measures of consensus compared to absolute scale methods?,Humans are often better at pairwise comparison than absolute scoring  is this still true when AI is the assessor?
P03,85,7,85,"How does cognitive load affect pairwise comparisons? Is there a threshold in the amount of information being processed beyond which comparison becomes harder than absolute judgement? If so, how can it be approximated?",Should there be agreed standards about what is reported when a study has used a comparative judgement method?
P03,29,93,29,What systematic biases related to cultural norms can be detected CJ outcomes?,"Can we ever know that people are making judgements on the logit scale, and if not, how can we ensure that we are specifying the correct scale?"
P03,95,44,95,What experimental design principles can produce a set of comparisons that is both informative (of the representations' scores) and representative (of the space of possibly paired representations)?,How can we model changes in CJ scores over time?
P04,104,108,108,"Most CJ exercises sample a subset of the n(n-1)/2 possible paired comparisons among n objects such that each object is involved in the same or a similar number of comparisons (e.g. c=20). The resulting data is then analysed with a Bradley-Terry model. If instead we compared (n-20) of the objects with the SAME 20 objects we would create a data set where we could simply add up the number of wins and rank the objects on their score out of 20, without involving the Bradley Terry model at all. What are the theoretical and practical differences between these situations and which is preferable? Do the long scales with lots of decimal places created by a typical CJ analysis disguise the fact that you don't really have more information than you'd get from a 20-item test? How does Cronbach's Alpha from the 'fixed set' CJ design compare with the Scale Separation Reliability usually reported from the Bradley-Terry analysis, both in theory and in practice?","How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?"
P04,99,104,99,What falsifiable claims about reality are embodied in the set of CJ scores that a set of objects receives post-Bradley-Terry analysis? How can/should these claims be tested and falsified?,"Most CJ exercises sample a subset of the n(n-1)/2 possible paired comparisons among n objects such that each object is involved in the same or a similar number of comparisons (e.g. c=20). The resulting data is then analysed with a Bradley-Terry model. If instead we compared (n-20) of the objects with the SAME 20 objects we would create a data set where we could simply add up the number of wins and rank the objects on their score out of 20, without involving the Bradley Terry model at all. What are the theoretical and practical differences between these situations and which is preferable? Do the long scales with lots of decimal places created by a typical CJ analysis disguise the fact that you don't really have more information than you'd get from a 20-item test? How does Cronbach's Alpha from the 'fixed set' CJ design compare with the Scale Separation Reliability usually reported from the Bradley-Terry analysis, both in theory and in practice?"
P04,103,32,32,The logistic distribution used in the Bradley-Terry model is a difference between Gumbel distributions. Do Gumbel distributions have any psychological justification or empirical support in educational assessment?,Humans are often better at pairwise comparison than absolute scoring  is this still true when AI is the assessor?
P04,111,27,27,"How do different statistical models impact research outcomes? e.g., when an independent samples t-test is conducted on a set of CJ parameter estimates, how much does the test statistic vary across different models.","Are there systematic biases in CJ related to handwriting, layout, or linguistic expression?"
P04,39,21,39,How does communicating multiple judging criteria to judges impact judgements made? Does this affect session outcomes?,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?"
P04,30,100,30,"Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?","When CJ is used instead of marking (in educational assessment e.g. of essays), what is the equivalent of 'classification accuracy' (for example if you were to impose cut-scores on the CJ theta scale in order to give grades to the essays)?"
P04,10,22,10,"To what extent can comparative judgement outcomes generated by different panels of judges, who judge the same items against different properties, be validly synthesised into a single overall score?","Pre/post measures: In a pre-test/post-test design where CJ is used to score responses, is there a statistical rationale for putting all responses into one pool versus having separate pools for the pre- and post-test responses?"
P04,28,24,28,How do we best control for particular aspects of representations (e.g. length)? Can we factor these out of the CJ scores?,How can the near-unlimited capacity/throughput of AI be harnessed? What might LLM training/fine-tuning be able to offer? Will results be well-adapted to CJ or to specific subject material? How can this be done in a framework which allows understanding of how various flavours of AI compare to each other and to human/expert judgement?
P04,33,64,64,"Why do we always get fairly high reliabilities in comparative judgement sessions, regardless of the judges or items?",How do comparative judgement methods scale to large numbers of items or sparse comparison designs?
P04,96,17,17,"In what ways are statistical models of comparative judgment data, like the Bradley-Terry model, misspecified - i.e., do they fail to capture structure in CJ outcomes - and how does this affect the validity of the inferences drawn from these models?",Should judge diversity be accounted for when designing CJ studies?
P05,9,75,9,How can relative ability scores from comparative judgement be linked to absolute measures or external standards?,"What is the role of uncertainty in CJ decisions, beyond uncertainty reporting?"
P04,100,25,25,"When CJ is used instead of marking (in educational assessment e.g. of essays), what is the equivalent of 'classification accuracy' (for example if you were to impose cut-scores on the CJ theta scale in order to give grades to the essays)?",How do assessors allocate their visual attention across the pairs of representations when judging? Are there particular features of representations that are more salient?
P04,1,78,1,How can we identify and distinguish between reliable and unreliable judges?,"How different do quality criteria have to be to give genuinely different scaled rank orders? Do stimulii that are 'better' tend to be better across essentially all criteria, or is it really possible with real-world answers to have quality criteria that are more orthogonal?"
P05,52,25,52,What is the role of cognitive ability in responding to CJ assessments of personality and other non-cognitive traits?,How do assessors allocate their visual attention across the pairs of representations when judging? Are there particular features of representations that are more salient?
P04,40,28,28,What makes a 'good' prompt for CJ sessions?,How do we best control for particular aspects of representations (e.g. length)? Can we factor these out of the CJ scores?
P04,60,70,70,"Does CJ become less effective with stimuli with multiple pages (i.e., not presented side-by-side)?",How can we relate Bradley-Terry scores to external data using a joint modelling approach?
P04,85,60,85,"How does cognitive load affect pairwise comparisons? Is there a threshold in the amount of information being processed beyond which comparison becomes harder than absolute judgement? If so, how can it be approximated?","Does CJ become less effective with stimuli with multiple pages (i.e., not presented side-by-side)?"
P05,78,3,78,"How different do quality criteria have to be to give genuinely different scaled rank orders? Do stimulii that are 'better' tend to be better across essentially all criteria, or is it really possible with real-world answers to have quality criteria that are more orthogonal?",How do we tell the difference between judges who are providing no information versus judges who have a different opinion to the rest of the group?
P04,7,38,38,Should there be agreed standards about what is reported when a study has used a comparative judgement method?,"How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?"
P05,81,21,21,To what extent are comparative judgements an expression of stable latent preferences vs context-driven choices?,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?"
P05,56,21,56,"Can CJ be used to evaluate the consistency in marking between groups, rather than consistency between judges being used as a reliability metric?","How does the mathematics change if we allow ties, and what are the choices around how we handle that?"
P05,15,10,15,How can we measure and account for heterogeneity among judges in comparative judgement?,"To what extent can comparative judgement outcomes generated by different panels of judges, who judge the same items against different properties, be validly synthesised into a single overall score?"
